a,b,m,s
4.174258064,0.563941216,2.067172961,0.392393751
10.62178873,2.936316103,2.587659423,0.42611107
2.850276428,0.371596588,1.415506084,0.282429564
6.913350072,1.796959807,1.509369967,0.468425484
7.75632023,1.490804201,2.363591006,0.365990348
10.56896386,3.030739263,2.073811605,0.39163498
58.04425795,24.30797896,-12.4292012,0.693826009
2.685524667,0.311784464,1.59479498,0.355020229
15.91857018,3.746751475,3.234272448,0.445640351
19.56782451,4.954783527,3.376916778,0.393495032
2.856565187,0.439664603,1.764619597,0.561915797
172.8411748,44.50282516,5.625011638,0.438880981
3.739594539,0.625699165,2.033221872,0.395917621
11.17360706,2.419514934,3.056045792,0.417264096
14.86487193,4.15176313,2.535904304,0.430040431
7.363416054,1.57036689,2.510535737,0.360954742
37.83877415,9.388695993,3.094724866,0.248592536
62.20895326,25.62124858,-12.69645066,0.680216129
87.92777932,25.32389674,4.562907963,0.479934285
3.896193059,0.888934836,1.297514515,0.399971025
42.10712225,10.40184926,4.070405236,0.474917811
18709.69129,4990.901782,9.108449171,0.345515058
1.461122043,0.188873663,0.831695457,0.416573897
3.881875977,0.643103245,1.927495413,0.435390704
2.81721742,0.465914132,1.742165146,0.406889833
7.553898993,1.659466463,2.607835758,0.420760617
9.297600152,2.662393709,2.459285772,0.468048059
58.14245916,22.68120541,-9.830642428,0.451549199
4.076846081,0.645683614,2.465744983,0.429154685
109.9868779,41.25070839,-12.30616611,0.522084678
16.1133766,3.871714928,2.994575563,0.363676623
12.98756222,3.713263262,2.314678199,0.27425496
4.946364491,1.033442176,2.320907951,0.501002596
13.15175449,3.632326054,2.797432178,0.316026067
80.46025344,26.549844,-12.62249558,0.494700678
5.958800993,1.338428198,1.959622175,0.417408433
7.392272516,1.212762049,2.734575413,0.454268948
5.89610676,1.309383392,1.575006592,0.320518106
3.894017524,0.753657811,1.838946334,0.433836629
22.9143402,6.052476885,3.307982328,0.485529621
6.47374366,1.643016121,2.048685442,0.372350076
136.5299365,50.86504613,4.711637025,0.411798532
5.381259269,0.887239186,2.282452197,0.468270862
1.532562931,0.091815956,1.622981899,0.419416098
11.2214781,3.107011148,2.661306152,0.440373321
8.596954103,2.698202508,1.482140418,0.380429193
16.95590141,4.014892266,2.86439509,0.370443599
10.06683664,2.686220936,2.566635706,0.378006761
62.99409902,21.90997086,-11.59286968,0.699938349
6.236753647,1.395358756,2.185908484,0.396718112
69.55542762,22.45252638,-12.68329133,0.468486876
39.25676611,9.53031307,3.731244881,0.466648496
30.19137756,6.922726927,3.48484201,0.30762625
4.859378536,1.034976491,1.534745389,0.373885189
8.088187732,1.626051966,2.402964537,0.323534526
13.92016604,2.995674974,2.982242764,0.386919959
8.201072452,1.831485211,2.794953212,0.399072907
4.888618707,1.111371773,1.65040318,0.388055118
9.42609378,2.091683332,2.329170266,0.338349397
44.59315365,14.97694721,-7.680503407,0.452564811
8.125802488,2.523857104,1.717859399,0.341541576
13.78976356,2.583040905,2.652556456,0.329599239
7.077537295,1.570214607,2.007814162,0.215449476
9.186358284,2.10964019,2.696120369,0.414859987
3.939072223,0.665895566,1.709678245,0.46222145
3.010711702,0.654718839,1.099955465,0.42962113
4.718145262,0.902241396,1.936657342,0.337248451
27.63051214,7.011924103,3.405109118,0.282682463
